LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,30,35.682945,-5.682945251464844
Tendring District,Demand,Heat Pump,Eastern Power Networks (EPN),10,0,0.2741719,-0.2741718888282776
Thurrock (B),Generation,Solar PV,Eastern Power Networks (EPN),8,28,29.95936,-1.959360122680664
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,25,26.585867,-1.585866928100586
Lewisham London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.31299734,0.31299734115600586
Central Bedfordshire,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,1.2519846,-1.2519845962524414
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,20,27.305162,-7.30516242980957
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,23,23.370312,-0.3703117370605469
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,28.204897,-3.204896926879883
Epping Forest District,Generation,Solar PV,Eastern Power Networks (EPN),29,87,87.326836,-0.32683563232421875
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),16,51,56.122334,-5.122333526611328
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,30,32.258327,-2.2583274841308594
South Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,0.09957466,-0.09957466274499893
Maldon District (B),Demand,Heat Pump,Eastern Power Networks (EPN),7,0,0.10667436,-0.10667435824871063
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,25,28.928648,-3.928647994995117
East Suffolk District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.6196681,-0.6196681261062622
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,47,45.61636,1.3836402893066406
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),7,77,25.395529,51.60447120666504
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.072602615,0.07260261476039886
Epping Forest District,Generation,Solar PV,Eastern Power Networks (EPN),7,21,25.899824,-4.899824142456055
East Suffolk District,Demand,Heat Pump,Eastern Power Networks (EPN),17,0,1.9017452,-1.9017452001571655
Adur District,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,36,38.238605,-2.238605499267578
South Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,10,8.032381,1.9676189422607422
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.20290302,0.20290301740169525
Medway (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),11,0,0.24412708,-0.2441270798444748
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),6,19,22.795174,-3.7951736450195312
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),26,90,89.94976,0.05023956298828125
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,29,27.069666,1.9303340911865234
Bromley London Boro,Generation,Solar PV,London Power Networks (LPN),7,23,25.616076,-2.6160755157470703
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,41,42.501064,-1.5010643005371094
Dartford District (B),Generation,Solar PV,London Power Networks (LPN),10,23,31.793879,-8.793878555297852
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,35,36.821083,-1.8210830688476562
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),8,31,28.925598,2.07440185546875
Runnymede District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,17,22.795174,-5.795173645019531
Ashford District (B),Demand,Heat Pump,South Eastern Power Networks (SPN),6,0,-0.12850638,0.1285063773393631
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,16,29.060411,-13.06041145324707
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),7,20,25.788568,-5.788568496704102
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,15,32.258327,-17.25832748413086
Hackney London Boro,Generation,Solar PV,London Power Networks (LPN),6,21,23.545536,-2.5455360412597656
East Suffolk District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.6196681,-0.6196681261062622
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,25,22.026218,2.9737815856933594
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),6,24,23.991488,0.008512496948242188
Central Bedfordshire,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,32,33.228176,-1.2281761169433594
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.258327,-4.258327484130859
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),7,0,-0.2064694,0.20646940171718597
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,20,27.08836,-7.088359832763672
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,37,37.59402,-0.5940208435058594
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,24,30.115936,-6.115936279296875
Eastbourne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,25.395529,-2.395528793334961
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),10,34,37.217125,-3.2171249389648438
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),10,40,35.754807,4.2451934814453125
Elmbridge District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,21,22.795174,-1.7951736450195312
Woking District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,19,26.013351,-7.0133514404296875
Chelmsford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.43597764,0.43597763776779175
Bromley London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),11,0,0.24412708,-0.2441270798444748
Colchester District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.7308158,-0.7308158278465271
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),8,26,32.327248,-6.327247619628906
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,40,42.501064,-2.5010643005371094
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,33,70.034325,-37.034324645996094
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,45,46.424427,-1.4244270324707031
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,40,32.960888,7.039112091064453
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),65,151,172.60884,-21.608840942382812
Hillingdon London Boro,Generation,Solar PV,Eastern Power Networks (EPN),9,10,32.258327,-22.25832748413086
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,23,23.071358,-0.07135772705078125
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,34,35.04528,-1.0452804565429688
Southwark London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.31299734,0.31299734115600586
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,23,22.795174,0.20482635498046875
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,47,43.220352,3.7796478271484375
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),6,16,22.886513,-6.886512756347656
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,40,45.06568,-5.065681457519531
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),7,0,27.037138,-27.037137985229492
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,33.361336,-5.361335754394531
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,19,35.049732,-16.049732208251953
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),8,22,28.463581,-6.463581085205078
Adur District,Generation,Solar PV,South Eastern Power Networks (SPN),17,46,57.725864,-11.72586441040039
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,37,49.439037,-12.439037322998047
Central Bedfordshire,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,84,37.59402,46.40597915649414
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),6,20,20.980406,-0.9804058074951172
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),9,33,32.258327,0.7416725158691406
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),26,85,83.69459,1.3054122924804688
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,28.204897,-5.204896926879883
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,28.514223,-3.514223098754883
Haringey London Boro,Generation,Solar PV,Eastern Power Networks (EPN),9,33,27.704622,5.295377731323242
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,43,39.113667,3.886333465576172
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,36,22.795174,13.204826354980469
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),39,114,111.22541,2.7745895385742188
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,34,31.123106,2.876893997192383
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,28,30.975948,-2.9759483337402344
Ashford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),13,0,0.36796445,-0.3679644465446472
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),14,48,49.723022,-1.7230224609375
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,19,22.795174,-3.7951736450195312
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,23.06326,-1.0632591247558594
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,22,22.026218,-0.026218414306640625
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,27,31.38473,-4.384729385375977
Sutton London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
King's Lynn and West Norfolk District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.11690087,-0.11690086871385574
Brent London Boro,Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.01924311,-0.019243109971284866
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,27,27.08836,-0.08835983276367188
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.693903,-4.693902969360352
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),14,46,49.65116,-3.6511611938476562
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,48,40.149685,7.850315093994141
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,25,21.512571,3.487428665161133
Redbridge London Boro,Generation,Solar PV,London Power Networks (LPN),18,40,59.082855,-19.082855224609375
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.0740212,-0.07402119785547256
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),14,48,50.97215,-2.972148895263672
Merton London Boro,Generation,Solar PV,London Power Networks (LPN),7,14,25.813364,-11.813364028930664
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),6,17,22.795174,-5.795173645019531
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.2064694,0.20646940171718597
Reigate and Banstead District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,33.317486,-8.317485809326172
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,41,42.501064,-1.5010643005371094
Brentwood District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,37,22.886513,14.113487243652344
East Suffolk District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),12,15,20.97407,-5.974069595336914
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),42,92,118.56262,-26.5626220703125
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,14,23.439426,-9.43942642211914
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.307076,-4.307075500488281
Tower Hamlets London Boro,Generation,Solar PV,London Power Networks (LPN),6,20,22.375008,-2.3750076293945312
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),7,29,25.673445,3.3265552520751953
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,27,22.795174,4.204826354980469
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,25,32.49691,-7.496910095214844
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),13,103,44.628124,58.37187576293945
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),17,52,57.99395,-5.993949890136719
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),8,28,28.463581,-0.4635810852050781
South Cambridgeshire District,Demand,Heat Pump,Eastern Power Networks (EPN),11,0,0.119966105,-0.11996610462665558
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),28,104,103.24567,0.75433349609375
Central Bedfordshire,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,1.2987596,-1.2987595796585083
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),8,24,27.888126,-3.8881263732910156
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,70.034325,-51.034324645996094
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,61,30.113226,30.88677406311035
Broadland District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.1944542,-0.19445419311523438
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),7,46,25.395529,20.60447120666504
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,28,22.795174,5.204826354980469
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),6,21,22.058546,-1.0585460662841797
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),6,65,22.886513,42.113487243652344
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),12,39,44.384624,-5.384624481201172
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,31,31.383266,-0.3832664489746094
Guildford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),9,0,0.08097805,-0.08097805082798004
Mid Suffolk District,Demand,EV Charging Point,Eastern Power Networks (EPN),13,0,0.49661744,-0.4966174364089966
